[Graph\ Configuration]
Version=1
NrCurves=3
FFTNrCurves=0
Title=Record Channels
XAxisLabel=Time [s]
YAxisLabel=Current Position of axis1
Y2AxisLabel=Physical units
SameScaleXY=0
XAxisLinear=1
YAxisLinear=1
FFT=0
[Graph\ Configuration/Curve1]
CustomName=Current Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Current Position of axis1
[Graph\ Configuration/Curve1/style]
ColorRed=33
ColorGreen=67
ColorBlue=163
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=1
[Graph\ Configuration/Curve2]
CustomName=Target Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Target Position of axis1
[Graph\ Configuration/Curve2/style]
ColorRed=255
ColorGreen=154
ColorBlue=79
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=1
[Graph\ Configuration/Curve3]
CustomName=Open Loop Control of axis4
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Open Loop Control of axis4
[Graph\ Configuration/Curve3/style]
ColorRed=226
ColorGreen=0
ColorBlue=121
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=0
[GCS_ARRAY Current Position of axis1]
# VERSION = 1
# TYPE = 1
# SEPARATOR = 9
# DIM = 3
# SAMPLE_TIME = 0.0005
# NDATA = 7917
#
# NAME0 = Current Position of axis1
# NAME1 = Target Position of axis1
# NAME2 = Open Loop Control of axis4
#
# END_HEADER
3.451345	4.06	0.155
3.485889	4.08	0.157
3.501919	4.099	0.159
3.518196	4.118	0.161
3.520054	4.137	0.163
3.546124	4.156	0.165
3.57807	4.175	0.167
3.591478	4.195	0.169
3.601435	4.214	0.171
3.627689	4.233	0.172
3.645905	4.252	0.174
3.646339	4.272	0.176
3.669222	4.291	0.178
3.69659	4.31	0.18
3.727543	4.329	0.182
3.738195	4.348	0.184
3.760611	4.368	0.186
3.78121	4.387	0.188
3.811369	4.406	0.19
3.819643	4.425	0.191
3.835749	4.445	0.193
3.856646	4.464	0.195
3.87731	4.483	0.197
3.888659	4.502	0.199
3.915194	4.522	0.201
3.92671	4.541	0.203
3.953474	4.56	0.205
3.965681	4.58	0.207
3.99295	4.599	0.208
4.01693	4.618	0.21
4.036371	4.637	0.212
4.046873	4.657	0.214
4.074615	4.676	0.216
4.084116	4.695	0.218
4.104433	4.715	0.22
4.130482	4.734	0.222
4.144739	4.753	0.224
4.172121	4.773	0.226
4.205492	4.792	0.227
4.202169	4.811	0.229
4.228127	4.831	0.231
4.240616	4.85	0.233
4.268955	4.869	0.235
4.281757	4.889	0.237
4.301847	4.908	0.239
4.31283	4.927	0.241
4.336123	4.947	0.243
4.365587	4.966	0.245
4.380455	4.985	0.246
4.404495	5.005	0.248
4.413094	5.024	0.25
4.434992	5.043	0.252
4.45388	5.063	0.254
4.472368	5.082	0.256
4.500244	5.102	0.258
4.515179	5.121	0.26
4.537058	5.14	0.262
4.553596	5.16	0.263
4.586802	5.179	0.265
4.599358	5.199	0.267
4.607973	5.218	0.269
4.642611	5.237	0.271
4.66481	5.257	0.273
4.675531	5.276	0.275
4.705832	5.296	0.277
4.726816	5.315	0.279
4.743259	5.334	0.281
4.759956	5.354	0.282
4.778828	5.373	0.284
4.807213	5.393	0.286
4.830662	5.412	0.288
4.843819	5.432	0.29
4.861607	5.451	0.292
4.881388	5.471	0.294
4.904778	5.49	0.296
4.91354	5.51	0.298
4.930258	5.529	0.299
4.946695	5.548	0.301
4.966547	5.568	0.303
4.993439	5.587	0.305
5.012568	5.607	0.307
5.025387	5.626	0.309
5.060732	5.646	0.311
5.073812	5.665	0.313
5.085426	5.685	0.315
5.114292	5.704	0.317
5.144947	5.724	0.318
5.152393	5.743	0.32
5.183907	5.763	0.322
5.198309	5.782	0.324
5.21344	5.802	0.326
5.235531	5.821	0.328
5.254543	5.841	0.33
5.276964	5.861	0.332
5.298336	5.88	0.334
5.310316	5.9	0.335
5.327713	5.919	0.337
5.348177	5.939	0.339
5.375286	5.958	0.341
5.389162	5.978	0.343
5.421621	5.997	0.345
5.432261	6.017	0.347
